payment_id,invoice_id,booking_id,customer_id,payment_date,amount_pkr,payment_type,payment_method,reference_no,notes
PAY0007471,INV005013,BK005159,CU01409,2022-06-14,8856.0,Advance,Card (POS),REF00007471,Advance 50%
PAY0007472,INV005013,BK005159,CU01409,2022-06-21,8855.0,Final,Card (POS),REF00007472,Final settlement
PAY0007473,INV005014,BK005160,CU00610,2026-03-28,67910.0,Advance,Bank Transfer,REF00007473,Advance 50%
PAY0007474,INV005014,BK005160,CU00610,2026-04-04,67910.0,Final,Bank Transfer,REF00007474,Final settlement
PAY0007475,INV005015,BK005161,CU00838,2026-05-01,21895.0,Full,Bank Transfer,REF00007475,
PAY0007476,INV005016,BK005162,CU01434,2023-05-15,64289.0,Full,JazzCash,REF00007476,
PAY0007477,INV005017,BK005163,CU00641,2026-03-12,10005.0,Full,Card (POS),REF00007477,
PAY0007478,INV005018,BK005164,CU01422,2026-04-10,33273.0,Advance,JazzCash,REF00007478,Advance 50%
PAY0007479,INV005018,BK005164,CU01422,2026-04-17,33273.0,Final,JazzCash,REF00007479,Final settlement
PAY0007480,INV005019,BK005166,CU00297,2023-01-03,3245.0,Advance,Bank Transfer,REF00007480,Advance 20%
PAY0007481,INV005019,BK005166,CU00297,2023-01-10,12982.0,Final,Bank Transfer,REF00007481,Final settlement
PAY0007482,INV005020,BK005167,CU00352,2025-03-27,116110.0,Full,Card (POS),REF00007482,
PAY0007483,INV005021,BK005168,CU01223,2026-02-07,25327.0,Advance,Bank Transfer,REF00007483,Advance 50%
PAY0007484,INV005021,BK005168,CU01223,2026-02-14,25327.0,Final,Bank Transfer,REF00007484,Final settlement
PAY0007485,INV005022,BK005169,CU01471,2023-10-12,43919.0,Partial,EasyPaisa,REF00007485,
PAY0007486,INV005023,BK005170,CU00712,2025-01-11,13601.0,Advance,Bank Transfer,REF00007486,Advance 20%
PAY0007487,INV005023,BK005170,CU00712,2025-01-18,54405.0,Final,Bank Transfer,REF00007487,Final settlement
PAY0007488,INV005024,BK005171,CU01254,2022-07-10,12537.0,Advance,Bank Transfer,REF00007488,Advance 50%
PAY0007489,INV005024,BK005171,CU01254,2022-07-17,12537.0,Final,Bank Transfer,REF00007489,Final settlement
PAY0007490,INV005025,BK005172,CU00406,2023-08-19,37437.0,Advance,Cash,REF00007490,Advance 20%
PAY0007491,INV005025,BK005172,CU00406,2023-08-26,149749.0,Final,Cash,REF00007491,Final settlement
PAY0007492,INV005026,BK005173,CU01097,2024-12-27,8171.0,Advance,Bank Transfer,REF00007492,Advance 50%
PAY0007493,INV005026,BK005173,CU01097,2025-01-03,389.0,Final,Bank Transfer,REF00007493,Final settlement
PAY0007494,INV005027,BK005174,CU00676,2022-08-26,61205.0,Full,EasyPaisa,REF00007494,
PAY0007495,INV005028,BK005175,CU01919,2024-09-14,216551.0,Advance,Bank Transfer,REF00007495,Advance 50%
PAY0007496,INV005028,BK005175,CU01919,2024-09-21,216551.0,Final,Bank Transfer,REF00007496,Final settlement
PAY0007497,INV005029,BK005176,CU00929,2022-12-26,22540.0,Advance,Cash,REF00007497,Advance 50%
PAY0007498,INV005029,BK005176,CU00929,2023-01-02,22541.0,Final,Cash,REF00007498,Final settlement
PAY0007499,INV005030,BK005177,CU00614,2026-01-16,14409.0,Advance,Card (POS),REF00007499,Advance 20%
PAY0007500,INV005030,BK005177,CU00614,2026-01-23,57638.0,Final,Card (POS),REF00007500,Final settlement
PAY0007501,INV005031,BK005178,CU00019,2026-04-14,4098.0,Advance,EasyPaisa,REF00007501,Advance 50%
PAY0007502,INV005031,BK005178,CU00019,2026-04-21,4098.0,Final,EasyPaisa,REF00007502,Final settlement
PAY0007503,INV005032,BK005179,CU00270,2026-06-25,8362.0,Advance,JazzCash,REF00007503,Advance 50%
PAY0007504,INV005032,BK005179,CU00270,2026-07-02,8363.0,Final,JazzCash,REF00007504,Final settlement
PAY0007505,INV005033,BK005180,CU00628,2023-01-16,5102.0,Advance,JazzCash,REF00007505,Advance 20%
PAY0007506,INV005033,BK005180,CU00628,2023-01-23,20406.0,Final,JazzCash,REF00007506,Final settlement
PAY0007507,INV005034,BK005181,CU01499,2022-12-14,2901.0,Advance,Bank Transfer,REF00007507,Advance 50%
PAY0007508,INV005034,BK005181,CU01499,2022-12-21,2901.0,Final,Bank Transfer,REF00007508,Final settlement
PAY0007509,INV005035,BK005182,CU01752,2024-06-15,11595.0,Advance,JazzCash,REF00007509,Advance 20%
PAY0007510,INV005035,BK005182,CU01752,2024-06-22,31895.0,Final,JazzCash,REF00007510,Final settlement
PAY0007511,INV005036,BK005183,CU01919,2023-10-17,5622.0,Full,Cash,REF00007511,
PAY0007512,INV005037,BK005184,CU01522,2024-07-05,283941.0,Full,Cash,REF00007512,
PAY0007513,INV005038,BK005185,CU01199,2022-07-04,28734.0,Full,Cash,REF00007513,
PAY0007514,INV005039,BK005186,CU00618,2022-10-05,6430.0,Advance,Cash,REF00007514,Advance 20%
PAY0007515,INV005039,BK005186,CU00618,2022-10-12,25718.0,Final,Cash,REF00007515,Final settlement
PAY0007516,INV005040,BK005187,CU00986,2025-03-12,55970.0,Full,EasyPaisa,REF00007516,
PAY0007517,INV005041,BK005188,CU01305,2025-10-10,215804.0,Full,JazzCash,REF00007517,
PAY0007518,INV005042,BK005189,CU01419,2022-03-01,55878.0,Full,Cash,REF00007518,
PAY0007519,INV005043,BK005190,CU01033,2023-09-23,91874.0,Full,JazzCash,REF00007519,
PAY0007520,INV005044,BK005191,CU00661,2023-05-07,20028.0,Full,Cash,REF00007520,
PAY0007521,INV005045,BK005192,CU00053,2022-01-15,5001.0,Advance,JazzCash,REF00007521,Advance 20%
PAY0007522,INV005045,BK005192,CU00053,2022-01-22,3164.0,Final,JazzCash,REF00007522,Final settlement
PAY0007523,INV005046,BK005193,CU01137,2022-10-07,9248.0,Advance,Bank Transfer,REF00007523,Advance 50%
PAY0007524,INV005046,BK005193,CU01137,2022-10-14,9247.0,Final,Bank Transfer,REF00007524,Final settlement
PAY0007525,INV005047,BK005194,CU01229,2022-07-16,19286.0,Full,JazzCash,REF00007525,
PAY0007526,INV005048,BK005195,CU00654,2022-09-19,14811.0,Full,EasyPaisa,REF00007526,
PAY0007527,INV005049,BK005196,CU01654,2023-12-16,69319.0,Full,JazzCash,REF00007527,
PAY0007528,INV005050,BK005197,CU00839,2026-01-12,5560.0,Advance,Bank Transfer,REF00007528,Advance 50%
PAY0007529,INV005050,BK005197,CU00839,2026-01-19,5561.0,Final,Bank Transfer,REF00007529,Final settlement
PAY0007530,INV005051,BK005198,CU01229,2025-02-25,29827.0,Full,JazzCash,REF00007530,
PAY0007531,INV005052,BK005199,CU01481,2022-03-06,25317.0,Full,Bank Transfer,REF00007531,
PAY0007532,INV005053,BK005200,CU01285,2025-07-03,18669.0,Advance,Card (POS),REF00007532,Advance 50%
PAY0007533,INV005053,BK005200,CU01285,2025-07-10,18669.0,Final,Card (POS),REF00007533,Final settlement
PAY0007534,INV005054,BK005201,CU01111,2024-05-02,3639.0,Advance,Bank Transfer,REF00007534,Advance 20%
PAY0007535,INV005054,BK005201,CU01111,2024-05-09,10243.0,Final,Bank Transfer,REF00007535,Final settlement
PAY0007536,INV005055,BK005202,CU01643,2022-06-17,5952.0,Partial,Card (POS),REF00007536,
PAY0007537,INV005056,BK005203,CU01783,2026-03-06,36152.0,Advance,Cash,REF00007537,Advance 50%
PAY0007538,INV005056,BK005203,CU01783,2026-03-13,36151.0,Final,Cash,REF00007538,Final settlement
PAY0007539,INV005057,BK005204,CU01855,2024-07-21,19627.0,Advance,Cash,REF00007539,Advance 20%
PAY0007540,INV005057,BK005204,CU01855,2024-07-28,78507.0,Final,Cash,REF00007540,Final settlement
PAY0007541,INV005058,BK005205,CU01007,2025-02-14,44259.0,Full,EasyPaisa,REF00007541,
PAY0007542,INV005059,BK005206,CU01524,2023-09-26,2570.0,Advance,JazzCash,REF00007542,Advance 20%
PAY0007543,INV005059,BK005206,CU01524,2023-10-03,10278.0,Final,JazzCash,REF00007543,Final settlement
PAY0007544,INV005060,BK005207,CU01982,2024-08-26,2980.0,Advance,Bank Transfer,REF00007544,Advance 20%
PAY0007545,INV005060,BK005207,CU01982,2024-09-02,11921.0,Final,Bank Transfer,REF00007545,Final settlement
PAY0007546,INV005061,BK005208,CU00279,2025-05-17,93055.0,Full,JazzCash,REF00007546,
PAY0007547,INV005062,BK005209,CU00854,2024-04-05,58024.0,Full,EasyPaisa,REF00007547,
PAY0007548,INV005063,BK005210,CU01959,2025-09-29,9112.0,Advance,Cash,REF00007548,Advance 50%
PAY0007549,INV005063,BK005210,CU01959,2025-10-06,9111.0,Final,Cash,REF00007549,Final settlement
PAY0007550,INV005064,BK005211,CU00959,2026-04-13,9632.0,Full,Cash,REF00007550,
PAY0007551,INV005065,BK005212,CU00904,2022-10-23,34780.0,Full,JazzCash,REF00007551,
PAY0007552,INV005066,BK005213,CU00220,2025-07-18,10214.0,Full,Cash,REF00007552,
PAY0007553,INV005067,BK005214,CU01495,2024-07-21,11888.0,Full,JazzCash,REF00007553,
PAY0007554,INV005068,BK005215,CU01772,2023-04-06,4812.0,Full,EasyPaisa,REF00007554,
PAY0007555,INV005069,BK005216,CU00658,2026-02-25,11658.0,Advance,Bank Transfer,REF00007555,Advance 50%
PAY0007556,INV005069,BK005216,CU00658,2026-03-04,11659.0,Final,Bank Transfer,REF00007556,Final settlement
PAY0007557,INV005070,BK005217,CU00514,2024-08-11,13319.0,Advance,Bank Transfer,REF00007557,Advance 50%
PAY0007558,INV005070,BK005217,CU00514,2024-08-18,13319.0,Final,Bank Transfer,REF00007558,Final settlement
PAY0007559,INV005071,BK005218,CU01541,2026-02-17,4683.0,Partial,Cash,REF00007559,
PAY0007560,INV005072,BK005219,CU01725,2026-04-06,55970.0,Full,Cash,REF00007560,
PAY0007561,INV005073,BK005220,CU01153,2022-06-17,62261.0,Full,Bank Transfer,REF00007561,
PAY0007562,INV005074,BK005221,CU01055,2024-08-15,11503.0,Advance,EasyPaisa,REF00007562,Advance 20%
PAY0007563,INV005074,BK005221,CU01055,2024-08-22,46014.0,Final,EasyPaisa,REF00007563,Final settlement
PAY0007564,INV005075,BK005222,CU00819,2022-03-11,3006.0,Advance,Cash,REF00007564,Advance 20%
PAY0007565,INV005075,BK005222,CU00819,2022-03-18,12023.0,Final,Cash,REF00007565,Final settlement
PAY0007566,INV005076,BK005223,CU01118,2023-12-21,1835.0,Advance,Card (POS),REF00007566,Advance 20%
PAY0007567,INV005076,BK005223,CU01118,2023-12-28,7338.0,Final,Card (POS),REF00007567,Final settlement
PAY0007568,INV005077,BK005224,CU01427,2022-08-21,7423.0,Partial,Cash,REF00007568,
PAY0007569,INV005078,BK005225,CU00351,2022-03-07,47531.0,Full,JazzCash,REF00007569,
PAY0007570,INV005079,BK005226,CU01826,2022-03-09,5003.0,Full,Bank Transfer,REF00007570,
PAY0007571,INV005080,BK005227,CU00234,2023-05-09,52763.0,Full,JazzCash,REF00007571,
PAY0007572,INV005081,BK005228,CU00857,2025-08-13,12321.0,Advance,Cash,REF00007572,Advance 50%
PAY0007573,INV005081,BK005228,CU00857,2025-08-20,12321.0,Final,Cash,REF00007573,Final settlement
PAY0007574,INV005082,BK005229,CU01296,2024-12-04,11214.0,Advance,Cash,REF00007574,Advance 50%
PAY0007575,INV005082,BK005229,CU01296,2024-12-11,11215.0,Final,Cash,REF00007575,Final settlement
PAY0007576,INV005083,BK005230,CU00933,2024-08-11,19570.0,Full,EasyPaisa,REF00007576,
PAY0007577,INV005084,BK005231,CU01918,2026-05-24,1676.0,Advance,Bank Transfer,REF00007577,Advance 20%
PAY0007578,INV005084,BK005231,CU01918,2026-05-31,6706.0,Final,Bank Transfer,REF00007578,Final settlement
PAY0007579,INV005085,BK005232,CU01818,2024-02-29,65444.0,Advance,EasyPaisa,REF00007579,Advance 50%
PAY0007580,INV005085,BK005232,CU01818,2024-03-07,65444.0,Final,EasyPaisa,REF00007580,Final settlement
PAY0007581,INV005086,BK005233,CU01310,2022-11-09,6584.0,Advance,EasyPaisa,REF00007581,Advance 50%
PAY0007582,INV005086,BK005233,CU01310,2022-11-16,6584.0,Final,EasyPaisa,REF00007582,Final settlement
PAY0007583,INV005087,BK005234,CU01640,2026-04-11,88776.0,Full,Cash,REF00007583,
PAY0007584,INV005088,BK005235,CU01243,2022-01-20,22421.0,Partial,EasyPaisa,REF00007584,
PAY0007585,INV005089,BK005236,CU00870,2024-10-17,8623.0,Full,Bank Transfer,REF00007585,
PAY0007586,INV005090,BK005237,CU01865,2025-09-29,11378.0,Partial,Cash,REF00007586,
PAY0007587,INV005091,BK005238,CU01911,2024-05-08,71095.0,Advance,JazzCash,REF00007587,Advance 50%
PAY0007588,INV005091,BK005238,CU01911,2024-05-15,71095.0,Final,JazzCash,REF00007588,Final settlement
PAY0007589,INV005092,BK005239,CU00842,2026-01-20,62773.0,Partial,EasyPaisa,REF00007589,
PAY0007590,INV005093,BK005240,CU00303,2024-06-25,2528.0,Advance,Cash,REF00007590,Advance 20%
PAY0007591,INV005093,BK005240,CU00303,2024-07-02,10111.0,Final,Cash,REF00007591,Final settlement
PAY0007592,INV005094,BK005241,CU00451,2023-08-07,26163.0,Advance,Bank Transfer,REF00007592,Advance 50%
PAY0007593,INV005094,BK005241,CU00451,2023-08-14,26163.0,Final,Bank Transfer,REF00007593,Final settlement
PAY0007594,INV005095,BK005242,CU00490,2024-08-23,12856.0,Advance,Cash,REF00007594,Advance 50%
PAY0007595,INV005095,BK005242,CU00490,2024-08-30,12856.0,Final,Cash,REF00007595,Final settlement
PAY0007596,INV005096,BK005243,CU01575,2026-03-01,108155.0,Full,JazzCash,REF00007596,
PAY0007597,INV005097,BK005244,CU00259,2022-11-07,14434.0,Advance,Cash,REF00007597,Advance 50%
PAY0007598,INV005097,BK005244,CU00259,2022-11-14,14434.0,Final,Cash,REF00007598,Final settlement
PAY0007599,INV005098,BK005245,CU00215,2025-08-03,1155.0,Advance,Card (POS),REF00007599,Advance 20%
PAY0007600,INV005098,BK005245,CU00215,2025-08-10,4620.0,Final,Card (POS),REF00007600,Final settlement
PAY0007601,INV005099,BK005246,CU00548,2024-08-29,11743.0,Full,JazzCash,REF00007601,
PAY0007602,INV005100,BK005247,CU00182,2026-02-14,4196.0,Partial,Cash,REF00007602,
PAY0007603,INV005101,BK005248,CU01782,2024-02-21,1759.0,Advance,Cash,REF00007603,Advance 20%
PAY0007604,INV005101,BK005248,CU01782,2024-02-28,7034.0,Final,Cash,REF00007604,Final settlement
PAY0007605,INV005102,BK005249,CU01855,2023-02-26,32598.0,Full,Cash,REF00007605,
PAY0007606,INV005103,BK005250,CU00266,2026-02-19,10225.0,Advance,Cash,REF00007606,Advance 20%
PAY0007607,INV005103,BK005250,CU00266,2026-02-26,40899.0,Final,Cash,REF00007607,Final settlement
PAY0007608,INV005104,BK005251,CU01728,2024-07-04,11418.0,Advance,Bank Transfer,REF00007608,Advance 50%
PAY0007609,INV005104,BK005251,CU01728,2024-07-11,11418.0,Final,Bank Transfer,REF00007609,Final settlement
PAY0007610,INV005105,BK005252,CU00502,2024-08-15,135075.0,Full,EasyPaisa,REF00007610,
PAY0007611,INV005106,BK005253,CU00595,2023-02-11,6237.0,Advance,Cash,REF00007611,Advance 20%
PAY0007612,INV005106,BK005253,CU00595,2023-02-18,24949.0,Final,Cash,REF00007612,Final settlement
PAY0007613,INV005107,BK005254,CU00942,2024-10-20,13088.0,Full,Cash,REF00007613,
PAY0007614,INV005108,BK005255,CU01832,2025-01-09,9559.0,Advance,Cash,REF00007614,Advance 20%
PAY0007615,INV005108,BK005255,CU01832,2025-01-16,38237.0,Final,Cash,REF00007615,Final settlement
PAY0007616,INV005109,BK005256,CU01542,2023-05-21,984.0,Advance,JazzCash,REF00007616,Advance 50%
PAY0007617,INV005109,BK005256,CU01542,2023-05-28,983.0,Final,JazzCash,REF00007617,Final settlement
PAY0007618,INV005110,BK005257,CU00157,2025-01-18,19934.0,Advance,Cash,REF00007618,Advance 50%
PAY0007619,INV005110,BK005257,CU00157,2025-01-25,19935.0,Final,Cash,REF00007619,Final settlement
PAY0007620,INV005111,BK005258,CU01223,2023-11-23,8217.0,Full,Cash,REF00007620,
PAY0007621,INV005112,BK005259,CU01212,2026-04-24,7659.0,Full,Cash,REF00007621,
PAY0007622,INV005113,BK005260,CU00809,2026-01-04,28002.0,Full,Cash,REF00007622,
PAY0007623,INV005114,BK005261,CU01824,2024-04-09,230504.0,Full,Card (POS),REF00007623,
PAY0007624,INV005115,BK005262,CU00758,2024-08-09,3316.0,Advance,Cash,REF00007624,Advance 50%
PAY0007625,INV005115,BK005262,CU00758,2024-08-16,3315.0,Final,Cash,REF00007625,Final settlement
PAY0007626,INV005116,BK005263,CU00926,2024-01-27,14594.0,Advance,JazzCash,REF00007626,Advance 50%
PAY0007627,INV005116,BK005263,CU00926,2024-02-03,14594.0,Final,JazzCash,REF00007627,Final settlement
PAY0007628,INV005117,BK005264,CU01053,2022-02-21,16815.0,Full,JazzCash,REF00007628,
PAY0007629,INV005118,BK005265,CU01219,2023-09-19,621170.0,Full,JazzCash,REF00007629,
PAY0007630,INV005119,BK005266,CU01874,2026-02-19,16505.0,Advance,JazzCash,REF00007630,Advance 20%
PAY0007631,INV005119,BK005266,CU01874,2026-02-26,66021.0,Final,JazzCash,REF00007631,Final settlement
PAY0007632,INV005120,BK005267,CU01814,2026-01-24,3613.0,Advance,JazzCash,REF00007632,Advance 20%
PAY0007633,INV005120,BK005267,CU01814,2026-01-31,14452.0,Final,JazzCash,REF00007633,Final settlement
PAY0007634,INV005121,BK005268,CU00219,2026-02-27,1397.0,Advance,JazzCash,REF00007634,Advance 20%
PAY0007635,INV005121,BK005268,CU00219,2026-03-06,449.0,Final,JazzCash,REF00007635,Final settlement
PAY0007636,INV005122,BK005269,CU00045,2022-03-04,271384.0,Full,Card (POS),REF00007636,
PAY0007637,INV005123,BK005270,CU00423,2023-10-15,4828.0,Advance,EasyPaisa,REF00007637,Advance 20%
PAY0007638,INV005123,BK005270,CU00423,2023-10-22,9.0,Final,EasyPaisa,REF00007638,Final settlement
PAY0007639,INV005124,BK005271,CU00819,2026-06-04,16443.0,Full,Cash,REF00007639,
PAY0007640,INV005125,BK005272,CU01321,2023-09-26,16351.0,Advance,JazzCash,REF00007640,Advance 20%
PAY0007641,INV005125,BK005272,CU01321,2023-10-03,65405.0,Final,JazzCash,REF00007641,Final settlement
PAY0007642,INV005126,BK005273,CU00147,2022-10-12,3223.0,Advance,JazzCash,REF00007642,Advance 20%
PAY0007643,INV005126,BK005273,CU00147,2022-10-19,12893.0,Final,JazzCash,REF00007643,Final settlement
PAY0007644,INV005127,BK005274,CU01845,2024-10-19,144652.0,Full,Bank Transfer,REF00007644,
PAY0007645,INV005128,BK005275,CU01716,2022-10-06,23357.0,Advance,Bank Transfer,REF00007645,Advance 20%
PAY0007646,INV005128,BK005275,CU01716,2022-10-13,93427.0,Final,Bank Transfer,REF00007646,Final settlement
PAY0007647,INV005129,BK005276,CU00224,2024-04-11,25191.0,Full,JazzCash,REF00007647,
PAY0007648,INV005130,BK005277,CU00457,2022-05-21,14283.0,Advance,EasyPaisa,REF00007648,Advance 20%
PAY0007649,INV005130,BK005277,CU00457,2022-05-28,57133.0,Final,EasyPaisa,REF00007649,Final settlement
PAY0007650,INV005131,BK005278,CU01416,2022-05-07,7071.0,Full,Cash,REF00007650,
PAY0007651,INV005132,BK005279,CU00140,2025-11-28,28541.0,Full,EasyPaisa,REF00007651,
PAY0007652,INV005133,BK005280,CU01074,2024-06-23,74651.0,Full,Cash,REF00007652,
PAY0007653,INV005134,BK005281,CU00929,2023-10-25,37956.0,Advance,JazzCash,REF00007653,Advance 50%
PAY0007654,INV005134,BK005281,CU00929,2023-11-01,37957.0,Final,JazzCash,REF00007654,Final settlement
PAY0007655,INV005135,BK005282,CU00881,2024-05-08,30648.0,Advance,Card (POS),REF00007655,Advance 20%
PAY0007656,INV005135,BK005282,CU00881,2024-05-15,122590.0,Final,Card (POS),REF00007656,Final settlement
PAY0007657,INV005136,BK005283,CU00702,2024-03-21,14397.0,Full,EasyPaisa,REF00007657,
PAY0007658,INV005137,BK005284,CU00030,2026-06-27,137263.0,Full,EasyPaisa,REF00007658,
PAY0007659,INV005138,BK005285,CU01571,2026-05-08,80004.0,Full,EasyPaisa,REF00007659,
PAY0007660,INV005139,BK005286,CU01189,2022-01-30,57982.0,Advance,JazzCash,REF00007660,Advance 50%
PAY0007661,INV005139,BK005286,CU01189,2022-02-06,57983.0,Final,JazzCash,REF00007661,Final settlement
PAY0007662,INV005140,BK005287,CU00999,2023-12-29,463792.0,Full,Card (POS),REF00007662,
PAY0007663,INV005141,BK005288,CU01234,2024-08-28,125381.0,Full,Card (POS),REF00007663,
PAY0007664,INV005142,BK005289,CU00718,2026-01-02,18323.0,Full,JazzCash,REF00007664,
PAY0007665,INV005143,BK005290,CU01954,2026-01-19,7496.0,Advance,JazzCash,REF00007665,Advance 50%
PAY0007666,INV005143,BK005290,CU01954,2026-01-26,7495.0,Final,JazzCash,REF00007666,Final settlement
PAY0007667,INV005144,BK005291,CU01737,2026-06-14,10589.0,Advance,Cash,REF00007667,Advance 20%
PAY0007668,INV005144,BK005291,CU01737,2026-06-21,42355.0,Final,Cash,REF00007668,Final settlement
PAY0007669,INV005145,BK005292,CU01019,2024-12-06,97273.0,Advance,EasyPaisa,REF00007669,Advance 50%
PAY0007670,INV005145,BK005292,CU01019,2024-12-13,97273.0,Final,EasyPaisa,REF00007670,Final settlement
PAY0007671,INV005146,BK005293,CU00777,2025-07-11,47684.0,Full,Cash,REF00007671,
PAY0007672,INV005147,BK005294,CU00210,2023-11-19,13282.0,Full,JazzCash,REF00007672,
PAY0007673,INV005148,BK005295,CU01749,2026-06-08,7557.0,Advance,Card (POS),REF00007673,Advance 20%
PAY0007674,INV005148,BK005295,CU01749,2026-06-15,30230.0,Final,Card (POS),REF00007674,Final settlement
PAY0007675,INV005149,BK005296,CU01465,2024-09-10,4130.0,Advance,Cash,REF00007675,Advance 50%
PAY0007676,INV005149,BK005296,CU01465,2024-09-17,4130.0,Final,Cash,REF00007676,Final settlement
PAY0007677,INV005150,BK005297,CU00128,2025-05-20,28179.0,Full,Bank Transfer,REF00007677,
PAY0007678,INV005151,BK005298,CU01342,2025-10-13,46779.0,Full,Cash,REF00007678,
PAY0007679,INV005152,BK005299,CU00028,2022-06-20,17837.0,Full,EasyPaisa,REF00007679,
PAY0007680,INV005153,BK005300,CU01792,2024-11-23,9184.0,Full,Bank Transfer,REF00007680,
PAY0007681,INV005154,BK005301,CU00444,2024-08-07,31449.0,Full,Cash,REF00007681,
PAY0007682,INV005155,BK005302,CU00596,2025-05-06,3243.0,Advance,Bank Transfer,REF00007682,Advance 20%
PAY0007683,INV005155,BK005302,CU00596,2025-05-13,12970.0,Final,Bank Transfer,REF00007683,Final settlement
PAY0007684,INV005156,BK005303,CU01228,2023-11-04,12391.0,Full,Cash,REF00007684,
PAY0007685,INV005157,BK005304,CU00817,2023-06-12,4419.0,Advance,JazzCash,REF00007685,Advance 50%
PAY0007686,INV005157,BK005304,CU00817,2023-06-19,4419.0,Final,JazzCash,REF00007686,Final settlement
PAY0007687,INV005158,BK005305,CU01569,2026-02-27,182604.0,Full,Card (POS),REF00007687,
PAY0007688,INV005159,BK005306,CU01066,2022-12-30,267673.0,Full,Cash,REF00007688,
PAY0007689,INV005160,BK005307,CU00174,2024-04-25,1879.0,Advance,JazzCash,REF00007689,Advance 20%
PAY0007690,INV005160,BK005307,CU00174,2024-05-02,5263.0,Final,JazzCash,REF00007690,Final settlement
PAY0007691,INV005161,BK005308,CU00049,2026-03-02,5233.0,Advance,Cash,REF00007691,Advance 20%
PAY0007692,INV005161,BK005308,CU00049,2026-03-09,8945.0,Final,Cash,REF00007692,Final settlement
PAY0007693,INV005162,BK005309,CU01782,2026-06-28,12992.0,Advance,JazzCash,REF00007693,Advance 50%
PAY0007694,INV005162,BK005309,CU01782,2026-07-05,12991.0,Final,JazzCash,REF00007694,Final settlement
PAY0007695,INV005163,BK005310,CU00445,2026-06-24,21850.0,Advance,Cash,REF00007695,Advance 20%
PAY0007696,INV005163,BK005310,CU00445,2026-07-01,87398.0,Final,Cash,REF00007696,Final settlement
PAY0007697,INV005164,BK005311,CU00634,2026-06-13,7397.0,Advance,Card (POS),REF00007697,Advance 20%
PAY0007698,INV005164,BK005311,CU00634,2026-06-20,29586.0,Final,Card (POS),REF00007698,Final settlement
PAY0007699,INV005165,BK005312,CU01508,2024-12-13,41995.0,Full,JazzCash,REF00007699,
PAY0007700,INV005166,BK005313,CU01774,2024-04-22,11224.0,Advance,Card (POS),REF00007700,Advance 50%
PAY0007701,INV005166,BK005313,CU01774,2024-04-29,11225.0,Final,Card (POS),REF00007701,Final settlement
PAY0007702,INV005167,BK005314,CU01624,2023-05-14,5085.0,Advance,Cash,REF00007702,Advance 20%
PAY0007703,INV005167,BK005314,CU01624,2023-05-21,14940.0,Final,Cash,REF00007703,Final settlement
PAY0007704,INV005168,BK005315,CU01601,2022-04-03,3386.0,Advance,Cash,REF00007704,Advance 20%
PAY0007705,INV005168,BK005315,CU01601,2022-04-10,13544.0,Final,Cash,REF00007705,Final settlement
PAY0007706,INV005169,BK005316,CU01672,2024-02-28,27310.0,Full,Bank Transfer,REF00007706,
PAY0007707,INV005170,BK005317,CU00143,2025-07-05,61109.0,Full,JazzCash,REF00007707,
PAY0007708,INV005171,BK005318,CU01590,2023-11-03,2705.0,Advance,Bank Transfer,REF00007708,Advance 20%
PAY0007709,INV005171,BK005318,CU01590,2023-11-10,8142.0,Final,Bank Transfer,REF00007709,Final settlement
PAY0007710,INV005172,BK005319,CU00419,2023-11-05,8212.0,Full,EasyPaisa,REF00007710,
PAY0007711,INV005173,BK005320,CU00402,2025-12-28,14685.0,Full,Cash,REF00007711,
PAY0007712,INV005174,BK005321,CU00134,2023-01-08,48452.0,Advance,JazzCash,REF00007712,Advance 50%
PAY0007713,INV005174,BK005321,CU00134,2023-01-15,48451.0,Final,JazzCash,REF00007713,Final settlement
PAY0007714,INV005175,BK005323,CU00655,2022-05-28,14068.0,Full,JazzCash,REF00007714,
PAY0007715,INV005176,BK005324,CU01508,2025-02-25,12763.0,Advance,JazzCash,REF00007715,Advance 20%
PAY0007716,INV005176,BK005324,CU01508,2025-03-04,51051.0,Final,JazzCash,REF00007716,Final settlement
PAY0007717,INV005177,BK005325,CU01280,2022-08-10,17191.0,Full,Cash,REF00007717,
PAY0007718,INV005178,BK005326,CU00870,2024-04-20,109612.0,Advance,JazzCash,REF00007718,Advance 50%
PAY0007719,INV005178,BK005326,CU00870,2024-04-27,70966.0,Final,JazzCash,REF00007719,Final settlement
PAY0007720,INV005179,BK005327,CU01683,2023-08-08,17079.0,Full,JazzCash,REF00007720,
PAY0007721,INV005180,BK005328,CU01931,2025-01-07,19237.0,Full,JazzCash,REF00007721,
PAY0007722,INV005181,BK005329,CU01839,2025-07-09,8604.0,Advance,Card (POS),REF00007722,Advance 20%
PAY0007723,INV005181,BK005329,CU01839,2025-07-16,34418.0,Final,Card (POS),REF00007723,Final settlement
PAY0007724,INV005182,BK005330,CU01525,2022-11-26,46422.0,Advance,Cash,REF00007724,Advance 20%
PAY0007725,INV005182,BK005330,CU01525,2022-12-03,185689.0,Final,Cash,REF00007725,Final settlement
PAY0007726,INV005183,BK005331,CU00173,2025-06-05,19618.0,Advance,Bank Transfer,REF00007726,Advance 50%
PAY0007727,INV005183,BK005331,CU00173,2025-06-12,19617.0,Final,Bank Transfer,REF00007727,Final settlement
